POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1381	Vettre	1381 VETTRE	Postboksar			220	Asker	Akershus	59.81498	10.46728	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1383	Asker	1383 ASKER	Gate-/veg-adresse	5125		220	Asker	Akershus	59.8342	10.4126	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1384	Asker	1384 ASKER	Gate-/veg-adresse	4176		220	Asker	Akershus	59.8446	10.4382	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1385	Asker	1385 ASKER	Gate-/veg-adresse	4440		220	Asker	Akershus	59.817070	10.379208	2	Koordinatane er retta av Emil Müller	2013-09-19 22:43:37
1386	Asker	1386 ASKER	Gate-/veg-adresse	3935		220	Asker	Akershus	59.8175	10.448	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1387	Asker	1387 ASKER	Gate-/veg-adresse	4975		220	Asker	Akershus	59.8335	10.4568	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1388	Borgen	1388 BORGEN	Gate-/veg-adresse	3916		220	Asker	Akershus	59.820313	10.425615	2	Koordinatane er retta av Emil Müller	2013-09-19 22:43:50
1389	Heggedal	1389 HEGGEDAL	Gate-/veg-adresse	5907		220	Asker	Akershus	59.785903	10.443564	2	Koordinatane er retta av Emil Müller	2013-09-19 22:44:09
1390	Vollen	1390 VOLLEN	Gate-/veg-adresse	2419		220	Asker	Akershus	59.809	10.4852	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:45:27
1391	Vollen	1391 VOLLEN	Gate-/veg-adresse	1658		220	Asker	Akershus	59.789	10.4825	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1392	Vettre	1392 VETTRE	Gate-/veg-adresse	3073		220	Asker	Akershus	59.8257	10.4692	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:03
1393	Vollen	1393 VOLLEN	Postboksar			220	Asker	Akershus	59.79303	10.48516	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1394	Nesbru	1394 NESBRU	Gate-/veg-adresse	4783		220	Asker	Akershus	59.8705	10.4956	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:45:47
1395	Hvalstad	1395 HVALSTAD	Gate-/veg-adresse	3856		220	Asker	Akershus	59.8589	10.4619	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:46:02
1396	Billingstad	1396 BILLINGSTAD	Gate-/veg-adresse	3385		220	Asker	Akershus	59.874206	10.484320	2	Koordinatane er retta av Emil Müller	2013-09-19 22:46:13
